mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.3808409214019775,0.23404388727291597,0.00259246826171875,0.0004887347239050896,identity,lbfgs,"{'activation': 'identity', 'solver': 'lbfgs'}",0.9800977653631285,0.9769553072625698,0.9800908138316451,0.9745022703457912,0.9790429619280475,0.9781378237462365,0.0021489723267243193,1
3.2102264404296874,0.2324315520806611,0.004405450820922851,0.00047011811441755356,tanh,lbfgs,"{'activation': 'tanh', 'solver': 'lbfgs'}",0.9783519553072626,0.9741620111731844,0.9769472581208523,0.9745022703457912,0.980440097799511,0.9768807185493203,0.002361632122626868,2
4.493719959259034,0.8591732115514619,0.003664112091064453,0.0003760053324935504,logistic,adam,"{'activation': 'logistic', 'solver': 'adam'}",0.9804469273743017,0.9731145251396648,0.9793922458959133,0.9734544184421935,0.977645826056584,0.9768107885817315,0.0030169620055587793,3
1.988195276260376,0.9944258327818378,0.0028580665588378907,0.0004607448164571832,relu,adam,"{'activation': 'relu', 'solver': 'adam'}",0.979050279329609,0.9724162011173184,0.9741529863779252,0.9745022703457912,0.9758994062172547,0.9752042286775797,0.002220195080553508,4
3.262108898162842,0.6801829406014368,0.004001331329345703,2.8172724110683863e-05,tanh,adam,"{'activation': 'tanh', 'solver': 'adam'}",0.9797486033519553,0.9710195530726257,0.974851554313657,0.9752008382815229,0.9727558505064617,0.9747152799052445,0.0029355218602669115,5
2.4227749824523928,0.10049100631155174,0.003590297698974609,0.0005036315916018407,relu,lbfgs,"{'activation': 'relu', 'solver': 'lbfgs'}",0.9780027932960894,0.9713687150837989,0.9762486901851205,0.9734544184421935,0.9724065665385959,0.9742962367091597,0.002465787116641477,6
1.9695465564727783,0.33901675982668067,0.003215456008911133,0.0002873290543594057,relu,sgd,"{'activation': 'relu', 'solver': 'sgd'}",0.979050279329609,0.9692737430167597,0.9738037024100594,0.9741529863779252,0.9741529863779252,0.9740867395024557,0.0030948521799837115,7
1.0685590744018554,0.4208397228617033,0.0029684066772460937,0.0005743560596751446,identity,adam,"{'activation': 'identity', 'solver': 'adam'}",0.9793994413407822,0.9738128491620112,0.9727558505064617,0.9731051344743277,0.9678658749563395,0.9733878300879845,0.0036685532446836143,8
3.2911012172698975,0.7790657458033222,0.004175329208374023,0.0004738055801163697,tanh,sgd,"{'activation': 'tanh', 'solver': 'sgd'}",0.9759078212290503,0.9668296089385475,0.9717079986028642,0.9724065665385959,0.9734544184421935,0.9720612827502503,0.0029782923557099042,9
2.859383392333984,0.27055658478790306,0.0039690971374511715,0.00011215658000508322,logistic,lbfgs,"{'activation': 'logistic', 'solver': 'lbfgs'}",0.9776536312849162,0.9151536312849162,0.9769472581208523,0.9706601466992665,0.9821865176388404,0.9645202370057584,0.024955058092239066,10
1.4720889568328857,1.280268598572313,0.0030673980712890626,0.0001383309937959578,identity,sgd,"{'activation': 'identity', 'solver': 'sgd'}",0.9780027932960894,0.9678770949720671,0.974851554313657,0.9081383164512749,0.9734544184421935,0.9604648354950562,0.026367757178533836,11
1.51396484375,1.6870108442224732,0.0032623767852783202,0.0005731115028551028,logistic,sgd,"{'activation': 'logistic', 'solver': 'sgd'}",0.9078212290502793,0.9078212290502793,0.9081383164512749,0.9081383164512749,0.907789032483409,0.9079416246973034,0.00016102788550224854,12
